№   	Дата/время          	Температура   	Осадки (мм)
1   	2026-05-25T00:00    	12.3°C		0.00
2   	2026-05-25T01:00    	12.0°C		0.00
3   	2026-05-25T02:00    	11.6°C		0.00
4   	2026-05-25T03:00    	11.5°C		0.00
5   	2026-05-25T04:00    	11.4°C		0.00
6   	2026-05-25T05:00    	12.0°C		0.00
7   	2026-05-25T06:00    	13.7°C		0.00
8   	2026-05-25T07:00    	15.4°C		0.00
9   	2026-05-25T08:00    	16.9°C		0.00
10  	2026-05-25T09:00    	18.5°C		0.00
11  	2026-05-25T10:00    	18.5°C		0.00
12  	2026-05-25T11:00    	19.7°C		0.00
13  	2026-05-25T12:00    	20.0°C		0.00
14  	2026-05-25T13:00    	18.6°C		0.00
15  	2026-05-25T14:00    	17.2°C		0.00
16  	2026-05-25T15:00    	17.4°C		0.00
17  	2026-05-25T16:00    	16.2°C		0.00
18  	2026-05-25T17:00    	16.4°C		0.00
19  	2026-05-25T18:00    	15.5°C		0.00
20  	2026-05-25T19:00    	14.8°C		0.10
21  	2026-05-25T20:00    	14.1°C		0.00
22  	2026-05-25T21:00    	13.4°C		0.10
23  	2026-05-25T22:00    	13.1°C		0.10
24  	2026-05-25T23:00    	12.8°C		0.00
